char	desc	sceneNum	sceneMarker
(sexy; macho)	geek		scene
(refers to the panties)	jake		scene
(referring to the skirt)	jake		scene
(embarrassed)	geek		scene
(referring to the Geek)	caroline		scene
(points to the Geek)	jake		scene
(confused but convinced)	caroline		scene
(sexy coo)	dong		scene
(into the phone)	geek		scene
(firmly, manly)	geek		scene
(amazed)	cliff		scene
(fondly)	brenda		scene
(looks at her like she's nuts)	ginny		scene
(on the verge of tears)	brenda		scene
(shrugs in agreement)	mike		scene
(to Howard and Jim)	fred		scene
(to Brenda)	jim		scene
(makes a face)	fred		scene
(sigh of relief, to the others)	howard		scene
(to Fred)	howard		scene
(to Dong, firm)	howard		scene
(acts out driving the car into a lake)	dong		scene
(baffled)	caroline		scene
(giggles)	ginny		scene
(embarrassed)	brenda		scene
(answers his own questions)	geek		scene
(pause)	geek		scene
(surprised)	dong		scene
(apologetic)	dong		scene
(impatient)	jake		scene
(sincere and warm)	sam		scene
(slurry and high)	ginny		scene
(whispers)	ginny		scene
(to the Driver)	jake		scene
(sighs with relief)	jake		scene
(voice distorted by the kiss)	caroline		scene
(timid)	caroline		scene
(nervous, to Jake)	caroline		scene
(to the Geek)	caroline		scene
(nervous chuckle)	caroline		scene
(embarrassed)	caroline		scene
(recovers his pride)	jake		scene
(corrects her)	jake		scene
(looking at Rudy)	ginny		scene
(to Rudy)	ginny		scene
(ignores her)	rudy		scene
(looks at her dress, whispers)	ginny		scene
(to Brenda)	jim		scene
(wipes his nose on his sleeve)	mike		scene
